municipality_id,csduid,csd,total_businesses,labour_participation_rate,participation_rate_year,has_complete_data
1,4806016,Calgary,1204694,0.69,2021.0,1
2,4811061,Edmonton,850867,0.68,2021.0,1
3,4808011,Red Deer,96455,0.63,2021.0,1
4,4811052,Strathcona County,89451,0.72,2021.0,1
5,4802012,Lethbridge,86948,0.65,2021.0,1
6,4819012,Grande Prairie,80450,0.7,2021.0,1
7,4801006,Medicine Hat,61909,0.62,2021.0,1
8,4811062,St. Albert,57471,0.71,2021.0,1
9,4806014,Rocky View County,53325,0.7,2021.0,1
10,4816037,Wood Buffalo,44909,0.7,2021.0,1
11,4800000,"Not Stated, Alberta",44016,0.0,,0
12,4806021,Airdrie,31434,0.74,2021.0,1
13,4811034,Parkland County,30634,0.6,2021.0,1
14,4810039,Lloydminster (Part),28816,0.67,2021.0,1
15,4808001,Red Deer County,28161,0.63,2021.0,1
16,4811016,Leduc,27933,0.7,2021.0,1
17,4811049,Spruce Grove,25245,0.75,2021.0,1
18,4806012,Okotoks,23919,0.68,2021.0,1
19,4806001,Foothills County,23672,0.67,2021.0,1
20,4819006,Grande Prairie County No. 1,23571,0.74,2021.0,1
21,4810011,Camrose,22733,0.62,2021.0,1
22,4811012,Leduc County,21729,0.65,2021.0,1
23,4815023,Canmore,20602,0.72,2021.0,1
24,4813030,Whitecourt,19698,0.8,2021.0,1
25,4806019,Cochrane,19306,0.69,2021.0,1
26,4811031,Drayton Valley,19231,0.64,2021.0,1
27,4809015,Rocky Mountain House,18861,0.66,2021.0,1
28,4808031,Lacombe,18397,0.65,2021.0,1
29,4814024,Edson,17446,0.7,2021.0,1
30,4811048,Stony Plain,17212,0.58,2021.0,1
31,4812009,Bonnyville,17055,0.62,2021.0,1
32,4802034,Brooks,16072,0.74,2021.0,1
33,4811059,Sturgeon County,16045,0.62,2021.0,1
34,4811056,Fort Saskatchewan,15986,0.71,2021.0,1
35,4806006,High River,14370,0.65,2021.0,1
36,4814019,Hinton,14243,0.69,2021.0,1
37,4806034,Olds,14042,0.64,2021.0,1
38,4811002,Wetaskiwin,14004,0.56,2021.0,1
39,4819038,Peace River,13242,0.77,2021.0,1
40,4814003,Yellowhead County,13136,0.68,2021.0,1
41,4806017,Chestermere,12892,0.71,2021.0,1
42,4812002,Cold Lake,12705,0.74,2021.0,1
43,4805018,Strathmore,12605,0.6,2021.0,1
44,4817095,Mackenzie County,12547,0.63,2021.0,1
45,4805012,Wheatland County,12538,0.71,2021.0,1
46,4807026,Stettler,12411,0.57,2021.0,1
47,4818015,Greenview No. 16,12118,0.69,2021.0,1
48,4808012,Sylvan Lake,11709,0.71,2021.0,1
49,4815035,Banff,11694,0.79,2021.0,1
50,4812037,Lac la Biche County,11636,0.65,2021.0,1
51,4802022,Taber,11584,0.72,2021.0,1
52,4808039,Ponoka,11438,0.63,2021.0,1
53,4809002,Clearwater County,11377,0.67,2021.0,1
54,4802011,Lethbridge County,11249,0.71,2021.0,1
55,4807054,Wainwright,10813,0.68,2021.0,1
56,4808008,Innisfail,10217,0.54,2021.0,1
57,4802031,Newell County,10016,0.72,2021.0,1
58,4811013,Beaumont,9800,0.67,2021.0,1
59,4817029,Slave Lake,9770,0.75,2021.0,1
60,4813019,Barrhead,9700,0.62,2021.0,1
61,4813031,Westlock,9546,0.55,2021.0,1
62,4806036,Sundre,9311,0.64,2021.0,1
63,4801003,Cypress County,8920,0.69,2021.0,1
64,4810036,Vermilion River County,8763,0.74,2021.0,1
65,4812018,St. Paul,8415,0.63,2021.0,1
66,4803014,Pincher Creek,8332,0.57,2021.0,1
67,4802021,"Taber, M.D.",8116,0.68,2021.0,1
68,4811001,Wetaskiwin County No. 10,7876,0.61,2021.0,1
69,4817033,Lesser Slave River No.124,7760,0.6,2021.0,1
70,4812004,Bonnyville No. 87,7635,0.64,2021.0,1
71,4810042,Vermilion,7566,0.67,2021.0,1
72,4817093,High Level,7552,0.75,2021.0,1
73,4813048,Athabasca,7419,0.6,2021.0,1
74,4810028,Vegreville,7412,0.6,2021.0,1
75,4817021,High Prairie,7388,0.71,2021.0,1
76,4815033,Jasper,7322,0.8,2021.0,1
77,4807002,Provost,7314,0.8,2021.0,1
78,4812014,St. Paul County No. 19,7295,0.6,2021.0,1
79,4802019,Coaldale,7114,0.65,2021.0,1
80,4811032,Brazeau County,7020,0.67,2021.0,1
81,4811068,Morinville,6977,0.76,2021.0,1
82,4819009,Beaverlodge,6928,0.66,2021.0,1
83,4806032,Didsbury,6879,0.63,2021.0,1
84,4805026,Drumheller,6787,0.69,2021.0,1
85,4815007,Crowsnest Pass,6651,0.51,2021.0,1
86,4810001,Camrose County,6370,0.73,2021.0,1
87,4819068,Fairview,6291,0.63,2021.0,1
88,4803019,Fort Macleod,5975,0.55,2021.0,1
89,4805048,Three Hills,5770,0.61,2021.0,1
90,4801018,Redcliff,5765,0.6,2021.0,1
91,4811018,Devon,5761,0.7,2021.0,1
92,4808022,Lacombe County,5746,0.62,2021.0,1
93,4810016,Beaver County,5544,0.61,2021.0,1
94,4817062,Clear Hills,5532,0.58,2021.0,1
95,4808029,Blackfalds,5518,0.76,2021.0,1
96,4813001,Lac Ste. Anne County,5511,0.64,2021.0,1
97,4819074,Grimshaw,5457,0.65,2021.0,1
98,4813044,Athabasca County,5400,0.61,2021.0,1
99,4803022,Claresholm,5307,0.53,2021.0,1
100,4808044,Rimbey,5276,0.49,2021.0,1
101,4808038,Ponoka County,5257,0.68,2021.0,1
102,4806026,Crossfield,5165,0.72,2021.0,1
103,4817078,Manning,5160,0.61,2021.0,1
104,4813014,Onoway,5027,0.51,2021.0,1
105,4813018,Barrhead County No. 11,5011,0.66,2021.0,1
106,4813029,Woodlands County,5001,0.7,2021.0,1
107,4806029,Carstairs,4957,0.66,2021.0,1
108,4803004,Cardston,4862,0.55,2021.0,1
109,4813028,Westlock County,4653,0.67,2021.0,1
110,4803026,Nanton,4415,0.64,2021.0,1
111,4807019,Stettler County No. 6,4399,0.69,2021.0,1
112,4807031,Flagstaff County,4249,0.75,2021.0,1
113,4818002,Fox Creek,4090,0.75,2021.0,1
114,4805006,Vulcan,4014,0.44,2021.0,1
115,4801014,Bow Island,3907,0.65,2021.0,1
116,4819041,Smoky River No. 130,3870,0.77,2021.0,1
117,4818018,Valleyview,3838,0.69,2021.0,1
118,4808024,Eckville,3701,0.72,2021.0,1
119,4804011,Hanna,3699,0.65,2021.0,1
120,4807012,Coronation,3618,0.67,2021.0,1
121,4810022,Viking,3591,0.69,2021.0,1
122,4808026,Bentley,3509,0.64,2021.0,1
123,4812022,Smoky Lake County,3448,0.58,2021.0,1
124,4807001,Provost No. 52,3439,0.72,2021.0,1
125,4811021,Thorsby,3422,0.64,2021.0,1
126,4819059,Saddle Hills County,3406,0.72,2021.0,1
127,4819058,Spirit River,3374,0.59,2021.0,1
128,4806028,Mountain View County,3357,0.71,2021.0,1
129,4804022,Consort,3332,0.81,2021.0,1
130,4807042,Killam,3309,0.65,2021.0,1
131,4811064,Gibbons,3288,0.69,2021.0,1
132,4813002,Mayerthorpe,3286,0.62,2021.0,1
133,4805001,Vulcan County,3212,0.7,2021.0,1
134,4811019,Calmar,3174,0.62,2021.0,1
135,4812016,Elk Point,3076,0.6,2021.0,1
136,4819014,Sexsmith,3030,0.76,2021.0,1
137,4817024,Swan Hills,2992,0.61,2021.0,1
138,4811011,Millet,2824,0.46,2021.0,1
139,4817076,Northern Lights County,2794,0.58,2021.0,1
140,4811065,Redwater,2724,0.52,2021.0,1
141,4817031,Opportunity No. 17,2716,0.62,2021.0,1
142,4802001,Warner County No. 5,2658,0.74,2021.0,1
143,4813036,Thorhild County,2599,0.58,2021.0,1
144,4804004,Special Area No. 2,2558,0.74,2021.0,1
145,4806009,Turner Valley,2429,0.61,2021.0,1
146,4807039,Daysland,2429,0.53,2021.0,1
147,4813046,Boyle,2409,0.63,2021.0,1
148,4802008,Raymond,2374,0.58,2021.0,1
149,4802018,Picture Butte,2357,0.63,2021.0,1
150,4819049,Birch Hills County,2314,0.57,2021.0,1
151,4801008,Forty Mile County No. 8,2286,0.69,2021.0,1
152,4817026,Northern Sunrise County,2237,0.67,2021.0,1
153,4801009,Foremost,2234,0.76,2021.0,1
154,4819011,Wembley,2217,0.76,2021.0,1
155,4810026,Minburn County No. 27,2150,0.68,2021.0,1
156,4810052,Two Hills,2142,0.56,2021.0,1
157,4806011,Black Diamond,2103,0.57,2021.0,1
158,4805049,Trochu,2103,0.68,2021.0,1
159,4810064,Lamont,2084,0.53,2021.0,1
160,4803002,Magrath,2058,0.55,2021.0,1
161,4817064,Hines Creek,2057,0.61,2021.0,1
162,4805046,Linden,2055,0.79,2021.0,1
163,4804012,Special Area No. 3,2054,0.74,2021.0,1
164,4810041,Kitscoty,2030,0.78,2021.0,1
165,4819056,Rycroft,1956,0.63,2021.0,1
166,4807014,Castor,1918,0.5,2021.0,1
167,4802036,Duchess,1914,0.67,2021.0,1
168,4810048,Two Hills County No. 21,1888,0.74,2021.0,1
169,4815032,Improvement District No.  9 Banff,1834,0.87,2021.0,1
170,4803018,Willow Creek No. 26,1814,0.77,2021.0,1
171,4810034,Mannville,1807,0.5,2021.0,1
172,4811069,Legal,1785,0.64,2021.0,1
173,4817027,Big Lakes County,1751,0.55,2021.0,1
174,4802013,Coalhurst,1710,0.7,2021.0,1
175,4802039,Bassano,1632,0.62,2021.0,1
176,4804014,Oyen,1632,0.55,2021.0,1
177,4808009,Penhold,1619,0.78,2021.0,1
178,4806024,Beiseker,1612,0.7,2021.0,1
179,4810002,Bashaw,1606,0.52,2021.0,1
180,4808032,Clive,1594,0.73,2021.0,1
181,4811024,Warburg,1567,0.62,2021.0,1
182,4817097,Rainbow Lake,1526,0.85,2021.0,1
183,4805041,Kneehill County,1519,0.79,2021.0,1
184,4807048,Hardisty,1466,0.73,2021.0,1
185,4807044,Sedgewick,1462,0.63,2021.0,1
186,4807036,Forestburg,1454,0.53,2021.0,1
187,4807051,Chauvin,1441,0.48,2021.0,1
188,4805044,Acme,1439,0.59,2021.0,1
189,4804020,Special Area No. 4,1409,0.81,2021.0,1
190,4808004,Delburne,1398,0.63,2021.0,1
191,4807049,Wainwright No. 61,1386,0.75,2021.0,1
192,4806031,Cremona,1381,0.59,2021.0,1
193,4803011,Pincher Creek No. 9,1379,0.66,2021.0,1
194,4802029,Vauxhall,1350,0.63,2021.0,1
195,4810058,Lamont County,1323,0.66,2021.0,1
196,4806022,Irricana,1286,0.66,2021.0,1
197,4806804,Tsuu T'ina Nation 145,1285,0.0,2021.0,0
198,4812029,Smoky Lake,1246,0.47,2021.0,1
199,4807052,Edgerton,1222,0.65,2021.0,1
200,4805031,Starland County,1221,0.6,2021.0,1
201,4815015,Bighorn No. 8,1218,0.66,2021.0,1
202,4802014,Nobleford,1177,0.63,2021.0,1
203,4807056,Irma,1161,0.72,2021.0,1
204,4807011,Paintearth County No. 18,1115,0.82,2021.0,1
205,4803001,Cardston County,1080,0.68,2021.0,1
206,4810061,Mundare,1074,0.59,2021.0,1
207,4819046,Falher,1062,0.66,2021.0,1
208,4811026,Breton,1061,0.42,2021.0,1
209,4810018,Tofield,1002,0.66,2021.0,1
210,4802004,Milk River,998,0.53,2021.0,1
211,4810066,Bruderheim,979,0.59,2021.0,1
212,4805021,Standard,976,0.54,2021.0,1
213,4819042,McLennan,962,0.66,2021.0,1
214,4802006,Warner,947,0.5,2021.0,1
215,4811801,Ermineskin 138,933,0.48,2021.0,1
216,4819048,Girouxville,930,0.59,2021.0,1
217,4813012,Alberta Beach,928,0.61,2021.0,1
218,4808006,Bowden,865,0.54,2021.0,1
219,4819072,Berwyn,833,0.76,2021.0,1
220,4810044,Marwayne,788,0.7,2021.0,1
221,4804001,Acadia No. 34,786,0.66,2021.0,1
222,4805022,Rockyford,765,0.64,2021.0,1
223,4802009,Stirling,746,0.64,2021.0,1
224,4808034,Alix,738,0.58,2021.0,1
225,4811066,Bon Accord,718,0.59,2021.0,1
226,4807004,Czar,705,0.56,2021.0,1
227,4805802,Siksika 146,704,0.51,2021.0,1
228,4811046,Spring Lake,703,0.79,2021.0,1
229,4806008,Longview,692,0.6,2021.0,1
230,4807029,Donalda,675,0.31,2021.0,1
231,4811803,Louis Bull 138B,645,0.37,2021.0,1
232,4803802,Blood 148,638,0.4,2021.0,1
233,4810014,Hay Lakes,630,0.79,2021.0,1
234,4805042,Carbon,620,0.55,2021.0,1
235,4810006,Edberg,616,1.0,2021.0,1
236,4819044,Donnelly,609,0.71,2021.0,1
237,4812012,Glendon,597,0.65,2021.0,1
238,4810019,Ryley,576,0.6,2021.0,1
239,4802002,Coutts,573,0.7,2021.0,1
240,4807046,Lougheed,561,0.29,2021.0,1
241,4817819,Wabasca 166A,558,0.66,2021.0,1
242,4810021,Holden,548,0.39,2021.0,1
243,4811804,Enoch Cree Nation,547,0.52,2021.0,1
244,4804019,Youngstown,528,0.43,2021.0,1
245,4817039,Nampa,523,0.82,2021.0,1
246,4805009,Milo,518,0.88,2021.0,1
247,4813032,Clyde,502,0.79,2021.0,1
248,4803003,Improvement District No.  4 Waterton,501,0.65,2021.0,1
249,4815013,Kananaskis,483,0.75,2021.0,1
250,4817831,Swan River 150E,474,0.35,2021.0,1
251,4811806,Wabamun 133A,470,0.42,2021.0,1
252,4802016,Barons,442,0.43,2021.0,1
253,4807038,Heisler,439,0.8,2021.0,1
254,4802023,Barnwell,437,0.58,2021.0,1
255,4807021,Big Valley,424,0.57,2021.0,1
256,4807006,Hughenden,418,0.56,2021.0,1
257,4804021,Veteran,416,0.46,2021.0,1
258,4812810,Cold Lake 149,413,0.44,2021.0,1
259,4808013,Norglenwold,406,0.39,2021.0,1
260,4811038,Seba Beach,401,0.36,2021.0,1
261,4817860,Loon Lake 235,401,0.58,2021.0,1
262,4803024,Stavely,387,0.57,2021.0,1
263,4802038,Rosemary,356,0.56,2021.0,1
264,4805011,Arrowwood,350,0.69,2021.0,1
265,4805008,Lomond,350,0.39,2021.0,1
266,4816817,Janvier 194,345,0.35,2021.0,1
267,4810009,Bawlf,344,0.6,2021.0,1
268,4819071,Peace No. 135,343,0.6,2021.0,1
269,4810059,Andrew,330,0.49,2021.0,1
270,4813007,Yellowstone,320,0.29,2021.0,1
271,4803801,Piikani 147,317,0.39,2021.0,1
272,4805034,Delia,301,0.56,2021.0,1
273,4807032,Alliance,299,0.36,2021.0,1
274,4812024,Vilna,299,0.44,2021.0,1
275,4819066,Fairview No. 136,299,0.73,2021.0,1
276,4812811,Kehewin 123,284,0.47,2021.0,1
277,4807008,Amisk,261,0.68,2021.0,1
278,4812808,White Fish Lake 128,261,0.57,2021.0,1
279,4805019,Hussar,255,0.72,2021.0,1
280,4805004,Champion,249,0.49,2021.0,1
281,4808002,Elnora,249,0.63,2021.0,1
282,4810031,Innisfree,247,0.37,2021.0,1
283,4808005,Jarvis Bay,242,0.53,2021.0,1
284,4810051,Myrnam,241,0.41,2021.0,1
285,4805002,Carmangay,239,0.44,2021.0,1
286,4808023,Birchcliff,226,0.71,2021.0,1
287,4817829,Sucker Creek 150A,224,0.48,2021.0,1
288,4803016,Cowley,219,0.73,2021.0,1
289,4809810,Big Horn 144A,208,0.0,2021.0,0
290,4804006,Empress,204,0.57,2021.0,1
291,4805038,Morrin,193,0.56,2021.0,1
292,4812026,Waskatenau,185,0.42,2021.0,1
293,4812802,Unipouheos 121,178,0.36,2021.0,1
294,4810012,Bittern Lake,176,0.67,2021.0,1
295,4806803,Eden Valley 216,166,0.0,2021.0,0
296,4817845,Hay Lake 209,164,0.42,2021.0,1
297,4817856,Woodland Cree 226,160,0.33,2021.0,1
298,4817828,Drift Pile River 150,156,0.41,2021.0,1
299,4813049,Island Lake,156,0.54,2021.0,1
