fact_id,occupation_id,time_id,noc_code,year,net_change_job_openings,net_change_job_seekers,annual_imbalance,cumulative_imbalance,demand_supply_ratio,gap_flag,talent_gap_index,gap_category
1,45,1,21223,2023,383.2274444500806,158.40410602883233,-224.82333842124828,-224.82333842124828,2.4193,1,70.0,Critical
2,45,2,21223,2024,624.6064665093089,70.60345365076407,-554.0030128585448,-778.8263512797931,8.8467,1,70.0,Critical
3,45,3,21223,2025,355.54268388771413,106.02610360489962,-249.5165802828145,-1028.3429315626076,3.3534,1,70.0,Critical
4,45,4,21223,2026,412.87319897319225,106.27446713794149,-306.5987318352508,-1334.9416633978583,3.885,1,70.0,Critical
5,45,5,21223,2027,323.3557543153519,130.17946179172444,-193.17629252362744,-1528.117955921486,2.4839,1,70.0,Critical
6,45,7,21223,2029,474.8744894993888,107.1164104090987,-367.7580790902901,-1926.0,4.4333,1,70.0,Critical
7,45,8,21223,2030,549.1574130687768,72.99830168758376,-476.159111381193,-2402.0828168824746,7.5229,1,70.0,Critical
8,45,9,21223,2031,418.3164808418889,67.19683090876518,-351.1196499331237,-2753.202466815598,6.2252,1,70.0,Critical
9,45,10,21223,2032,396.6783594964222,63.80901903940256,-332.86934045701963,-3086.0718072726177,6.2167,1,70.0,Critical
10,45,11,21223,2033,186.65767701368983,64.91012521266958,-121.74755180102028,-3207.8193590736378,2.8756,1,70.0,Critical
11,486,3,14103,2025,92.142666778014,28.91182820087841,-63.23083857713559,535.7990599120157,3.187,1,61.61,Critical
12,45,6,21223,2028,170.1833500901347,140.13567960062903,-30.047670489505663,-1558.1656264109915,1.2144,1,61.44,Critical
13,296,3,21231,2025,387.2914208548764,320.60516822852566,-66.68625262635072,-172.87324343522488,1.208,1,60.8,Critical
14,296,1,21231,2023,451.4014427228609,373.76482804584754,-77.63661467701331,-77.63661467701331,1.2077,1,60.77,Critical
15,287,2,63220,2024,20.925586486495305,4.789368427182045,-16.13621805931326,175.12031711134597,4.3692,1,60.53,Critical
16,287,3,63220,2025,30.34166935128741,5.442433118223795,-24.89923623306362,150.22108087828235,5.575,1,60.45,Critical
17,287,4,63220,2026,16.66225409757859,5.26060830551251,-11.40164579206608,138.81943508621626,3.1674,1,60.42,Critical
18,287,5,63220,2027,31.09917601462454,5.632438978243336,-25.466737036381204,113.35269804983506,5.5214,1,60.34,Critical
19,390,2,80010,2024,355.98262447295656,245.84780222785804,-110.13482224509852,106.60900515417607,1.448,1,60.32,Critical
20,287,6,63220,2028,12.63171838091989,5.829011331724047,-6.802707049195844,106.5499910006392,2.167,1,60.32,Critical
21,287,8,63220,2030,19.204664343578383,3.7123914862016183,-15.492272857376763,100.17886261444173,5.1731,1,60.3,Critical
22,287,9,63220,2031,19.70613287173116,3.460283182550756,-16.2458496891804,83.93301292526131,5.6949,1,60.25,Critical
23,287,11,63220,2033,15.79143043835884,3.4620670286237973,-12.329363409735045,73.78093087568583,4.5613,1,60.22,Critical
24,460,2,65210,2024,15.396366091280026,6.562196009542831,-8.834170081737195,16.871315029231997,2.3462,1,60.05,Critical
25,460,5,65210,2027,11.572389993259767,7.305528198478997,-4.26686179478077,15.088010544707938,1.5841,1,60.05,Critical
26,501,1,85102,2023,-15.224544782902376,-0.5299224330033057,14.694622349899072,14.694622349899072,28.7298,0,60.04,Critical
27,299,2,22101,2024,131.8853613011169,98.79374351105452,-33.09161779006236,9.090979769564411,1.335,1,60.03,Critical
28,221,2,65101,2024,51.00791883856294,38.919347504937775,-12.08857133362516,10.104117641149134,1.3106,1,60.03,Critical
29,164,2,22113,2024,27.79301291215356,20.235358052697748,-7.557654859455813,1.6773746181476064,1.3735,1,60.01,Critical
30,460,3,65210,2025,20.048372388335217,7.222611969271252,-12.825760419063965,4.045554610168033,2.7758,1,60.01,Critical
31,216,1,10029,2023,239.34136155568325,182.9860550864212,-56.35530646926205,-56.35530646926205,1.308,1,60.0,Critical
32,108,1,10030,2023,121.2227007040386,66.48614556476046,-54.73655513927813,-54.73655513927813,1.8233,1,60.0,Critical
33,177,1,11101,2023,325.06143751380336,215.14719657764607,-109.91424093615728,-109.91424093615728,1.5109,1,60.0,Critical
34,172,1,11102,2023,945.001396886006,572.4317755921518,-372.5696212938542,-372.5696212938542,1.6509,1,60.0,Critical
35,73,1,11103,2023,172.05143116955915,67.26722578931215,-104.784205380247,-104.784205380247,2.5577,1,60.0,Critical
36,71,1,11109,2023,263.66797136729014,101.35252366780648,-162.31544769948366,-162.31544769948366,2.6015,1,60.0,Critical
37,204,1,11200,2023,715.8592081819456,518.0827445770977,-197.7764636048479,-197.7764636048479,1.3817,1,60.0,Critical
38,122,1,11201,2023,1133.5419845831827,546.5956079833461,-586.9463765998366,-586.9463765998366,2.0738,1,60.0,Critical
39,161,1,11202,2023,1160.6849673373283,704.2789970811436,-456.4059702561847,-456.4059702561847,1.648,1,60.0,Critical
40,106,1,12012,2023,42.591111337684296,25.928434772823664,-16.662676564860632,-16.662676564860632,1.6426,1,60.0,Critical
41,188,1,12013,2023,549.5736508658458,289.17500986393514,-260.3986410019107,-260.3986410019107,1.9005,1,60.0,Critical
42,330,1,12104,2023,313.83847351663303,215.38913445437103,-98.44933906226196,-98.44933906226196,1.4571,1,60.0,Critical
43,153,1,12110,2023,154.7152375680148,94.87401673224316,-59.84122083577164,-59.84122083577164,1.6307,1,60.0,Critical
44,86,1,12111,2023,52.32113478784552,30.262278439624765,-22.05885634822075,-22.05885634822075,1.7289,1,60.0,Critical
45,157,1,12112,2023,72.37633864898248,41.26015191566709,-31.116186733315395,-31.116186733315395,1.7541,1,60.0,Critical
46,368,1,12200,2023,2140.974567826792,1571.364327713321,-569.6102401134704,-569.6102401134704,1.3625,1,60.0,Critical
47,318,1,12201,2023,299.80365295657555,220.66973609864849,-79.13391685792709,-79.13391685792709,1.3586,1,60.0,Critical
48,229,1,13101,2023,494.2331180599479,347.67508535491925,-146.5580327050286,-146.5580327050286,1.4215,1,60.0,Critical
49,301,1,13111,2023,650.1595911807505,418.5676874421999,-231.59190373855057,-231.59190373855057,1.5533,1,60.0,Critical
50,64,1,13112,2023,544.1933408696881,223.5198913731916,-320.67344949649646,-320.67344949649646,2.4347,1,60.0,Critical
51,51,1,13200,2023,28.385289840468037,10.111836551214548,-18.273453289253485,-18.273453289253485,2.8071,1,60.0,Critical
52,269,1,14111,2023,403.980782801552,283.3646000045286,-120.61618279702338,-120.61618279702338,1.4257,1,60.0,Critical
53,314,1,14200,2023,1461.5382020647858,1064.0941927793017,-397.4440092854843,-397.4440092854843,1.3735,1,60.0,Critical
54,173,1,14201,2023,105.96591409629984,64.31308132269582,-41.652832773604,-41.652832773604,1.6477,1,60.0,Critical
55,376,1,14400,2023,925.9076372070248,684.1364769927147,-241.77116021431016,-241.77116021431016,1.3534,1,60.0,Critical
56,179,1,14404,2023,401.6674060619302,200.65296217569025,-201.01444388624,-201.01444388624,2.0018,1,60.0,Critical
57,46,1,14405,2023,63.93343023752301,17.114525942580617,-46.8189042949424,-46.8189042949424,3.7356,1,60.0,Critical
58,487,1,21103,2023,43.8185518110311,6.170153101340994,-37.648398709690106,-37.648398709690106,7.1017,1,60.0,Critical
59,150,1,21200,2023,164.89706589298788,92.72205496503204,-72.17501092795584,-72.17501092795584,1.7784,1,60.0,Critical
60,56,1,21201,2023,27.552171163351662,14.313939657787456,-13.23823150556421,-13.23823150556421,1.9248,1,60.0,Critical
61,131,1,21203,2023,117.73258647379976,73.87497549352173,-43.857610980278025,-43.857610980278025,1.5937,1,60.0,Critical
62,300,1,21211,2023,466.9632968553855,112.89270195367384,-354.0705949017117,-354.0705949017117,4.1363,1,60.0,Critical
63,4,1,21230,2023,379.18177372971473,144.15704546791514,-235.0247282617996,-235.0247282617996,2.6303,1,60.0,Critical
64,133,1,21232,2023,777.6547763266333,576.9854487267814,-200.66932759985184,-200.66932759985184,1.3478,1,60.0,Critical
65,29,1,21233,2023,126.0086053192393,67.65398468221431,-58.35462063702498,-58.35462063702498,1.8625,1,60.0,Critical
66,203,1,21321,2023,184.97285714707223,136.26356822653003,-48.70928892054221,-48.70928892054221,1.3575,1,60.0,Critical
67,42,1,21390,2023,24.41643300289981,9.465887008744543,-14.950545994155272,-14.950545994155272,2.5794,1,60.0,Critical
68,17,1,22100,2023,239.6946884503082,51.28821785127114,-188.40647059903705,-188.40647059903705,4.6735,1,60.0,Critical
69,224,1,22212,2023,409.024130022569,276.81935845839115,-132.20477156417786,-132.20477156417786,1.4776,1,60.0,Critical
70,40,1,22213,2023,57.14986242173213,19.40193542348972,-37.747926998242406,-37.747926998242406,2.9456,1,60.0,Critical
71,241,1,22221,2023,418.6831085754945,310.9571058031892,-107.72600277230532,-107.72600277230532,1.3464,1,60.0,Critical
72,53,1,22222,2023,63.94554195961803,27.073631326908075,-36.87191063270996,-36.87191063270996,2.3619,1,60.0,Critical
73,184,1,22230,2023,206.74513147128707,135.28710909324025,-71.45802237804682,-71.45802237804682,1.5282,1,60.0,Critical
74,125,1,22232,2023,347.1838764357404,199.39751934885297,-147.78635708688736,-147.78635708688736,1.7412,1,60.0,Critical
75,99,1,22233,2023,277.0061592554742,138.29709508168128,-138.7090641737929,-138.7090641737929,2.003,1,60.0,Critical
76,191,1,22302,2023,115.97835073213504,76.44121668294834,-39.53713404918669,-39.53713404918669,1.5172,1,60.0,Critical
77,147,1,30010,2023,366.0122631364069,261.06761536965666,-104.94464776675028,-104.94464776675028,1.402,1,60.0,Critical
78,186,1,31101,2023,206.78864571839227,100.88020710083048,-105.9084386175618,-105.9084386175618,2.0498,1,60.0,Critical
79,178,1,31103,2023,158.72682517878684,111.32960798272477,-47.39721719606209,-47.39721719606209,1.4257,1,60.0,Critical
80,96,1,31111,2023,60.077656221969264,43.21322443669044,-16.864431785278825,-16.864431785278825,1.3903,1,60.0,Critical
81,511,1,31112,2023,278.08419912303026,73.7124780009955,-204.3717211220348,-204.3717211220348,3.7726,1,60.0,Critical
82,127,1,31121,2023,139.92460918077958,93.64042511733246,-46.28418406344713,-46.28418406344713,1.4943,1,60.0,Critical
83,140,1,31200,2023,301.9474282823388,214.443309361584,-87.50411892075479,-87.50411892075479,1.4081,1,60.0,Critical
84,61,1,31202,2023,395.68444398745305,180.991315696256,-214.69312829119704,-214.69312829119704,2.1862,1,60.0,Critical
85,55,1,31203,2023,229.00056226897493,111.64567010561012,-117.3548921633648,-117.3548921633648,2.0511,1,60.0,Critical
86,513,1,31209,2023,74.15631326904538,18.39583923242214,-55.76047403662324,-55.76047403662324,4.0311,1,60.0,Critical
87,60,1,31300,2023,137.15228437524587,65.65808447576552,-71.49419989948035,-71.49419989948035,2.0889,1,60.0,Critical
