supply_id,credential,field_of_study_or_cip,is_ai_related,n_per_year,income_year1,income_year5,income_avg_5yr,inc_diff,inc_growth,attractiveness_score,attractiveness_category
91,Diploma,Computer science,1,130,52300.0,67400.0,60540.0,15100.0,0.29,52.88,Moderate
98,Diploma,Computer engineering,1,48,61000.0,77100.0,69660.0,16100.0,0.26,51.13,Moderate
40,Diploma,Computer software and media applications,1,30,37800.0,65000.0,50320.0,27200.0,0.72,48.04,Moderate
2,Certificate,Computer/information technology administration and management,1,30,40200.0,56300.0,48960.0,16100.0,0.4,47.58,Moderate
90,Diploma,"Computer and information sciences and support services, general",1,50,63800.0,77100.0,69800.0,13300.0,0.21,46.22,Moderate
51,Diploma,"Engineering-related technologies 49,000 51,900 51,100 57,300 23 Computer engineering technologies/technicians",1,84,47800.0,59000.0,53600.0,11200.0,0.23,43.42,Moderate
1,Certificate,Computer software and media applications,1,32,45500.0,56300.0,48260.0,10800.0,0.24,41.38,Moderate
42,Diploma,Civil engineering technology/technician,1,102,60200.0,70100.0,64720.0,9900.0,0.16,40.67,Moderate
92,Diploma,Computer/information technology administration and management,1,20,63200.0,73100.0,66020.0,9900.0,0.16,39.23,Low
35,Diploma,"Radio, television and digital communication",1,144,37000.0,43200.0,40300.0,6200.0,0.17,34.22,Low
50,Diploma,Construction engineering technology/technician,1,30,68900.0,74900.0,69800.0,6000.0,0.09,33.76,Low
41,Diploma,"Computer/information technology administration and management 45,900 53,400 54,800 45,100 -800 -2% 23 Culinary arts and related services",1,146,31300.0,34400.0,33780.0,3100.0,0.1,25.02,Low
89,Diploma,"Radio, television and digital communication 40,500 38,900 30 Public relations, advertising and applied communication",1,28,62100.0,61900.0,63480.0,-200.0,0.0,22.54,Low
39,Diploma,"Computer and information sciences and support services, general",1,22,48000.0,43900.0,48820.0,-4100.0,-0.09,17.34,Low
62,Diploma,Stationary energy sources installer and operator,0,110,131400.0,153600.0,145000.0,22200.0,0.17,69.54,Moderate
144,Diploma,Accounting and related services,0,646,47900.0,70200.0,59200.0,22300.0,0.47,65.33,Moderate
61,Diploma,Heavy/industrial equipment maintenance technologies,0,58,78600.0,104700.0,94600.0,26100.0,0.33,63.96,Moderate
94,Diploma,"Teacher education and professional development, specific levels and methods",0,866,52300.0,64200.0,59880.0,11900.0,0.23,63.65,Moderate
95,Diploma,"Labour Market Outcomes of Graduates of Alberta Publicly Funded Post-Secondary Institutions, 2024 35 Classification: Public Change from year one to year five 1 2 3 4 5 N per year Teacher education and professional development, specific subject areas",0,626,53500.0,67700.0,62040.0,14200.0,0.27,62.85,Moderate
151,Diploma,"PROFESSIONAL BACHELOR’S DEGREE Law (LLB, JD, BCL)",0,196,59300.0,90700.0,79520.0,31400.0,0.53,61.95,Moderate
142,Diploma,"Registered nursing, nursing administration, nursing research and clinical nursing 72,600 74,000 76,500 76,200 78,400 5,800 8% 1,312 Business/commerce, general",0,446,48500.0,63600.0,56500.0,15100.0,0.31,59.78,Moderate
182,Doctoral Degree,"Electrical, electronics and communications engineering",0,28,66200.0,89000.0,79540.0,22800.0,0.34,58.07,Moderate
181,Doctoral Degree,"Chemical engineering 93,700 20 Civil engineering",0,22,82300.0,103400.0,90260.0,21100.0,0.26,57.63,Moderate
143,Diploma,"Business administration, management and operations",0,632,51200.0,62800.0,56640.0,11600.0,0.23,57.13,Moderate
